Name,Identifier,Market,Cluster,Primary Triggers,Entry Setup,Stop Rule,TP/Management,Time Window (CEST),Notes
BPER Banca,IT0000066123,IT,Bank,"Rates/News","Break nur mit Vol≥150%","~1.1× Box","TP1=1R; Trail","09:00–10:00","Etwas dünner"
Mediobanca,IT0000062957,IT,Bank,"Deals/Refi","News-Retest","knapp hinter Level","Trail","09:00–10:00","Event-getrieben"
Leonardo,IT0003856405,IT,Defense,"Politik/Orders","News-Retest","knapp dahinter","Staffeln; straffer Trail","09:00–10:00","Headline-Spikes"
STMicroelectronics,NL0000226223,NL/IT,Semi,"SOX/NDX-Sync","ORB + Futures-Bias","0.8–1.0× Box","VWAP-Trail","09:00–10:00; 15:30–16:30","Kern-Tech-Play"
Stellantis,NL00150001Q9,NL/IT,Auto,"Orders/KPI/Deals","Break & Retest","~1.0× Box","TP1=1R; Trail","09:00–10:00","OEM-Cluster nicht überladen"
Prysmian,IT0004176001,IT,Cables/Energy,"ORB","~1.0× Box","ATR-Trail","09:00–10:00","Energy-Transition-Beta"
Nexi,IT0005366767,IT,Payments,"Reg/Guidance/ESG","VWAP-Reclaim + Vol","~0.9× Box","TP1=1R; Trail","09:00–10:00","Schnelle Moves"
Ferrari,NL0011585146,NL/IT,Premium OEM,"Earnings/KPI","Trend-Pullback (kein Chase)","~0.9× Box","Trend-Trail","09:00–10:00","Momentum-Liebling"
Saipem,IT0005495657,IT,Oil Services,"Öl/Capex/Deals","News-Retest","knapp hinter Trigger","Staffeln; Trail","09:00–10:00","Volatil, Slippage"
Renault,FR0000131906,FR,Auto,"KPI/Guidance","ORB","~1.0× Box","TP1=1R; Trail","09:00–10:00","Solide Ranges"
Société Générale,FR0000130809,FR,Bank,"FR-Makro/Reg","ORB","~0.9× Box","VWAP-Trail","09:00–10:00","Headline-sensitiv"
Soitec,FR0013227113,FR,Semi (FD-SOI),"Guidance/Capex","ORB/Pullback","~1.1× Box","TP1; ATR-Trail","09:00–10:00","Dünn → kleinere Size"
Teleperformance,FR0000051807,FR,Outsourcing,"ESG/Reg/Guidance","News-Retest","knapp dahinter","straffer Trail","09:00–10:00","Große Gaps möglich"
Thales,FR0000121329,FR,Defense/Cyber,"Politik/Deals","News-Retest","knapp dahinter","Trail","09:00–10:00","Def-Cluster beachten"
Ubisoft,FR0000054470,FR,Gaming,"Releases/Delays","News-Retest","~1.0× Box","TP1=1R; Trail","09:00–10:00","Sprunghaft"
Worldline,FR0011981968,FR,Payments,"Guidance/ESG/Reg","VWAP-Reclaim","~0.9× Box","Trail","09:00–10:00","Volatil bei News"
voestalpine,AT0000937503,AT,Steel,"China/Commodities","ORB","~1.0× Box","ATR-Trail","09:00–10:00","Commodities-Beta"
Erste Group,AT0000652011,AT,Bank,"CEE-Makro","ORB","~0.9× Box","VWAP-Trail","09:00–10:00","Banken-Cluster"
Raiffeisen Bank Int.,AT0000606306,AT,Bank,"EM/CEE-Risk","ORB","~1.0× Box","TP1=1R; Trail","09:00–10:00","News-sensitiv"
OMV,AT0000743059,AT,Oil & Gas,"DOE/Brent/Deals","Pullback-Entry","~1.0× Box","Trail","09:00–10:00","Ölpreis-Hebel"
AT&S,AT0000969985,AT,Semi-Substrates,"Capex/NDX-Sync","ORB","~1.1× Box","ATR-Trail","09:00–10:00","Kann reißen; Size anpassen"
EQT,SE0012853455,SE,Private Equity,"Flows/Deals/ESG","News-Retest","~1.0× Box","TP1=1R; Trail","09:00–10:00","Breite Moves"
Evolution AB,SE0012673267,SE,Gaming,"Reg/Markets","ORB/Retest","~1.0× Box","Trail","09:00–10:00","Sehr volatil"
MIPS AB,SE0009216278,SE,Consumer Tech,"Produktsicherh./Guidance","ORB/Retest","~1.0× Box","Trail","09:00–10:00","High Beta"
Prosus,NL0013654783,NL,HoldCo/China,"Tencent/China-News","ORB/Retest","~1.0× Box","Trail","09:00–10:00","China-Session-Bias"
Rheinmetall,DE0007030009,DE,Defense,"Politik/Orders","News-Retest","knapp dahinter","Trail straff","09:00–10:00","Explosiv"
Mercedes-Benz Group,DE0007100000,DE,Auto,"KPI/News","Break & Retest","~1.0× Box","TP1=1R; Trail","09:00–10:00","OEM-Cluster beachten"
Volkswagen Vz,DE0007664039,DE,Auto,"Headlines/KPI","Pullback-Entries bevorzugen","~1.0× Box","TP1=1R; Trail","09:00–10:00","Tape kann „kleben“"
SAP,DE0007164600,DE,Enterprise SW,"NDX-Beta/Zahlen","ORB; VWAP-Reversion→Resume","~0.8–1.0× Box","VWAP-Trail","09:00–10:00; 15:30–16:30","Megaliquid"
Bayer,DE000BAY0017,DE,Pharma/Legal,"Recht/Blockbuster","News-Retest (kein Chase)","~1.0× Box","TP1=1R; Trail","09:00–10:00","Große Gaps möglich"
Ferrari (EU Watchlist),NL0011585146,NL/IT,Premium OEM,"Momentum/KPI","Trend-Pullback","~0.9× Box","Trend-Trail","09:00–10:00","(Duplikat bewusst gelistet)"
Adyen,NL0012969182,NL,Payments,"Guidance/ESG/Reg","Retest (9:05–9:15 Fake-Breaks häufig)","~1.0× Box","TP1=1R; Trail","09:00–10:00","Sehr hohe Vola"
ASML (ADR),USN070592100,US ADR,Semi-Tools,"SOX/NDX-Sync/Earnings","ORB + Futures-Bias","~0.9× Box","Trail","15:30–16:30","US-Session"
NVIDIA,NVDA,US,AI/Semicap,"Guidance/News/SOX","ORB + NDX-Bias","0.8–1.0× Box","TP1=1R; VWAP-Trail","15:30–16:30","Primärinstrument"
Tesla,TSLA,US,Auto/Momentum,"Deliveries/Reg/CEO-News","Retest nach frühem Fake-Break","hinter Reclaim","Trail","15:30–16:30","Erste 5–7 Min unruhig"
AMD,AMD,US,Semi,"SOX/Guidance","ORB","~1.0× Box","VWAP-Trail","15:30–16:30","Korrel. mit NVDA"
Broadcom,AVGO,US,Semi/AI,"Earnings/AI-News","Trend-Pullback","~0.9× Box","Trail","15:30–16:30","Teures Underlying → kleinere Size"
Microsoft,MSFT,US,MegaCap Tech,"News/NDX-Bias","ORB","~0.8× Box","Trail","15:30–16:30","Sehr glatt; Größe statt Hebel"
Amazon,AMZN,US,E-Com/Cloud,"Retail/AI-News","ORB","~1.0× Box","TP1=1R","15:30–16:30","Solide Trendtage"
Meta,META,US,Social/Ads,"KPI/Ads","VWAP-Reclaim","~0.9× Box","Trail","15:30–16:30","Starke Moves"
Alphabet A,US02079K3059,US,Search/Ads,"News/Reg/AI","ORB","~0.9× Box","Trail","15:30–16:30","Mit META/TTD clustern"
Alphabet C,US02079K1079,US,Search/Ads,"ORB","~0.9× Box","Trail","15:30–16:30","siehe oben"
Netflix,NFLX,US,Streaming,"KPI/Guidance/Releases","Break & Retest","~1.0× Box","TP1=1R","15:30–16:30","Gap-&-Go/Fill beides möglich"
MercadoLibre,MELI,US ADR,E-Com LatAm,"KPI/FX","Trend-Pullback","~1.1× Box","Trail","15:30–16:30","Sehr schnell"
Pinduoduo,PDD,US ADR,China E-Com,"China-Session/News","ORB","~1.1× Box","ATR-Trail","15:30–16:30","Headline-sensitiv"
Shopify,SHOP,US,E-Com,"Guidance/KPI","ORB","~1.0× Box","Trail","15:30–16:30","Momentum"
ARM,US0420682058,US,Semi IP,"Lock-up/Guidance","News-Retest","~1.2× Box","TP1=1R","15:30–16:30","Hohe Vola"
Lam Research,LRCX,US,Semi-Equip,"Orders/NDX","ORB","~1.0× Box","Trail","15:30–16:30","SOX-Beta"
Applied Materials,AMAT,US,Semi-Equip,"Orders/NDX","ORB","~1.0× Box","Trail","15:30–16:30","SOX-Beta"
KLA,KLAC,US,Metrology,"SOX-Bias","ORB","~0.9× Box","Trail","15:30–16:30","Trend sauber"
Micron,MU,US,Memory,"Pricing/Guidance","Break & Retest","~1.0× Box","TP1=1R","15:30–16:30","Earnings-Zyklen stark"
Qualcomm,QCOM,US,Handset/AI,"News/Deals","ORB","~0.9× Box","Trail","15:30–16:30","NDX-Kopplung"
onsemi,ON,US,Auto/Power Semi,"Auto-Capex/EV","ORB","~1.0× Box","Trail","15:30–16:30","Trendfortsetzung"
CrowdStrike,CRWD,US,Cyber,"Breach/Guidance","News-Retest","~1.0× Box","TP1=1R","15:30–16:30","Schnelle Squeezes"
Palo Alto,PANW,US,Cyber,"Guidance/Deals","ORB","~0.9× Box","Trail","15:30–16:30","Stark an Zahlen"
Zscaler,ZS,US,Cyber,"KPI/Guidance","VWAP-Reclaim","~0.9× Box","Trail","15:30–16:30","Momentum"
Datadog,DDOG,US,Observability,"KPI/Cloud","ORB","~1.0× Box","Trail","15:30–16:30","News-sensitiv"
Synopsys,SNPS,US,EDA,"Guidance/Deals","Trend-Pullback","~0.9× Box","Trail","15:30–16:30","Glatt, aber ergiebig"
Cadence,CDNS,US,EDA,"Guidance/Deals","Trend-Pullback","~0.9× Box","Trail","15:30–16:30","ähnlich SNPS"
Adobe,ADBE,US,Software,"AI/Guidance","ORB","~1.0× Box","Trail","15:30–16:30","Saubere Trends"
Marvell,MRVL,US,Semi/Net/AI,"AI/Cloud-News","ORB","~1.0× Box","Trail","15:30–16:30","NDX-Beta"
NXP Semiconductors,NXPI,US,Auto-Semi,"Auto-News/EV","Break & Retest","~1.0× Box","Trail","15:30–16:30","etwas „stufig“"
Boeing,BA,US,Aero,"Headlines/FAA/Orders","News-Retest","knapp hinter Level","Staffeln; straffer Trail","15:30–16:30","Slippage-Puffer"
Airbnb,ABNB,US,Travel,"KPI/Bookings","ORB","~1.0× Box","TP1=1R","15:30–16:30","Momentum"
Booking Holdings,BKNG,US,OTA,"KPI/Outlook","Trend-Pullback","~1.1× Box","Trail","15:30–16:30","Teures Underlying"
Trade Desk,TTD,US,AdTech,"Ads/KPI","VWAP-Reclaim","~0.9× Box","Trail","15:30–16:30","Mit META/GOOGL clustern"
Palantir,PLTR,US,AI/Data,"DoD/Contracts","News-Retest","~1.0× Box","TP1=1R","15:30–16:30","Squeeze-anfällig"
Regeneron,REGN,US,Biotech,"Read-outs/FDA","News-Retest","~1.2× Box","Trail","15:30–16:30","Gap-Risk hoch"
Vertex,VRTX,US,Biotech,"Read-outs","Retest","~1.1× Box","Trail","15:30–16:30","Größere Steps"
Lululemon,LULU,US,Retail Momentum,"KPI/Guidance","ORB","~1.0× Box","Trail","15:30–16:30","Trendstark"
